,Unnamed: 0,ID,region_id,private_business,prices,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
7400,7400,abd8918e6e229e5bbd7014a6d709d59d068737cf,-15,business,18500.0,audi,a3-sportback,diesel,77000,2014,1598,white,5,164
7401,7401,df74d0922131a44bd8ca2850696b0ea53ec05439,0,business,22200.0,ford,focus,diesel,7502,2017,1499,other,5,28
7402,7402,b9b907a09126e08870bb7cefd34a8370de524120,-11,business,26350.0,bmw,635,diesel,139000,2008,3000,blue,4,30
7403,7403,43ca09762ecadfecafbfccb9e87cfb73ff602489,-11,business,12550.0,fiat,500c,gaz,22000,2016,1242,white,5,139
7404,7404,822d1d720542c43f88574564a525409eac833cce,0,business,10850.0,seat,ibiza,diesel,104869,2016,1422,other,5,25
7405,7405,0f65f5d971fab797e409c7f5864e5dc7c14b4617,-14,business,23750.0,volvo,v40,diesel,134000,2015,1998,blue,5,25
7406,7406,ea9f57b7500ba78648017cfa313d73c118adf7c0,0,business,17500.0,bmw,116,diesel,115000,2016,1496,white,5,36
7407,7407,865888de2391cccc2026f0a5c34bebd1c2c3c9fb,-13,business,14999.0,peugeot,308,diesel,123000,2014,1600,white,5,18
7408,7408,483ac323092155dc2c11ccd0d7d4aa34f8366d34,-13,business,7900.0,ford,fiesta,gaz,119334,2011,1200,white,5,13
7409,7409,ac0eca7d42be3d7f6612373f2e0dfa4ec8db5c27,-11,business,13400.0,peugeot,3008,diesel,110996,2013,1600,white,5,87
7410,7410,81c03bdc5b580a0624c099a459832158ce0d4668,-11,private,9250.0,mitsubishi,pajero,diesel,334000,2001,2800,green,7,179
7411,7411,a7d24002ccc0df4edf30aa3e947ea07744cc4460,-11,business,12200.0,renault,megane,diesel,87764,2013,1461,other,5,7
7412,7412,dfbff10e9923e1ccc4dee7cfb870e7549584b020,-11,business,6490.0,land-rover,range-rover,diesel,151155,1997,2497,green,5,55
7413,7413,794b4db4a00e8ffb06df520dd53dda1fb150d2a4,-3,private,9000.0,citroen,berlingo,diesel,180000,2012,1560,white,3,179
7414,7414,c0c03bde1e2dd90ca28ae79ee444789ae134991b,-13,business,4750.0,opel,frontera,diesel,100000,2000,2200,white,5,26
7415,7415,60e48a9efbfd92f81c73a68a8463468204d5d947,-11,business,6650.0,vw,polo,diesel,228230,2011,1190,blue,5,62
7416,7416,99b06bc11613171f6130374aa78d78188c728ce1,-11,business,13600.0,seat,ibiza,diesel,8996,2016,1422,other,5,10
7417,7417,2912bd8ee8fb9b699c109bc1d1893510103a7614,-3,business,10499.0,renault,clio,gaz,39000,2014,898,red,5,43
7418,7418,328d93ca921fa44088f3a43f5fa870441979a024,-11,business,21100.0,skoda,octavia,diesel,36618,2017,1598,other,5,11
7419,7419,fc2d7d9bacca4f678be8bc82872dc2c765562e01,-13,private,4950.0,vw,polo,gaz,67600,2007,1200,other,5,10
7420,7420,44c39fdfb286389852c97cc23ce3fc6252f27877,-14,business,18500.0,bmw,320,diesel,205000,2014,2000,blue,5,52
7421,7421,ec90bce9a9159888f70f5583257dd79109f2d5fb,-13,business,2350.0,renault,laguna,diesel,299000,2001,1900,blue,5,147
7422,7422,6421371f0bca6afd4032ce90d5cf74c8274918fa,-3,business,25800.0,peugeot,508-rxh,hibride-diesel,91886,2015,1997,white,5,48
7423,7423,d7d47c781ecd1ad873eaa39d859cc94eca67964d,-10,business,10000.0,citroen,ds3,diesel,180000,2011,1560,red,5,63
7424,7424,9a6c01f5aa0047b67d0592fa8dfd5f083db5b24c,-11,business,8750.0,opel,corsa,diesel,130545,2012,1248,other,5,35
7425,7425,f7f55834c9c92976209965a3c22c9d706b74d216,-3,business,3750.0,renault,megane,diesel,335000,2011,1500,white,2,12
