,Unnamed: 0,ID,region_id,private,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
16411,16411,b9b322f0db29e2bbb070d46abda0266d524ac4f3,14,business,13400.0,bmw,x3,diesel,12.735438335191143,2008,1995,golden,4,55
16412,16412,f32da7201048a048682a487c3d427c7a4be1ff3a,15,business,25500.0,bmw,i3,electric,9.820214633342307,2014,1,white,4,55
16413,16413,ec401d9c9442c6ac30908b1d90d746d27c04ddd3,3,business,18800.0,renault,megane,diesel,9.743318800383307,2016,1500,white,5,27
16414,16414,91c8e1dcd1da9e2547e1465a22f38017284182e0,11,business,14990.0,peugeot,308-sw,diesel,11.736069016284437,2015,1600,white,5,135
16415,16415,3cf3b59e2e1f11742846b884c798408b02a68fb9,11,business,20900.0,peugeot,508-rxh,hibride-diesel,11.891361900690473,2012,1997,white,5,17
16416,16416,162fd2dba3eff20efd5c9f6d4c81a7cfac6d7c27,11,business,20500.0,bmw,316,diesel,11.75738422454324,2014,1995,other,5,66
16417,16417,c6de157af51bb48ea06d5dd7146ed19ab7716fff,13,business,16250.0,audi,a1,diesel,11.33857207782545,2013,1560,white,4,43
16418,16418,c89170a4cd024caa38fb2f2e0d7c30ab89edec62,17,business,10750.0,mitsubishi,l200,diesel,12.564778026735313,2000,2500,blue,4,154
16419,16419,a6471d5bf32a617fdcdb0f5ec385f4dc742983c6,3,business,3900.0,nissan,patrol,diesel,12.440701981947473,1995,2800,white,3,61
16420,16420,a119c38ed19076057b757278918574129402ace9,11,business,10750.0,vw,up,gaz,10.086642095633975,2016,999,other,4,63
16421,16421,431adb6b4efbdba15b1d33320e441e65eab34cad,1,business,15500.0,bmw,116,diesel,11.884489021402711,2013,1598,blue,4,94
16422,16422,66a4501497d567ce9848fcd15772a77185535df1,13,business,33500.0,bmw,520,diesel,11.911701584927597,2015,1995,blue,5,242
