,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20119,20119,79a9209500b910cc30d243738b29a126566373f3,13,business,140.0,citroen,citroen-c4-grand-picasso,diesel,159000,2015,1600,white,7.0,95
20120,20120,89edbc2ae5a8e6eff2a2e30f5c342b78eae5db9a,0,business,34490.0,mercedes-benz,mercedes-benz-a-180,diesel,16000,2018,1461,white,,29
20121,20121,5f984b2bd104230fe9122c559e41b614cf2d2dc9,15,business,4750.0,smart,smart-fortwo,diesel,138397,2006,800,green,2.0,14
20122,20122,92180d9ea459409880b038f574c2b55b9af8244c,0,business,12900.0,citroen,citroen-c3,diesel,48310,2016,1560,white,,72
20123,20123,8263b73fffff215edd727441f92cd871ddea37dd,6,business,14500.0,citroen,citroen-c4-cactus,diesel,125000,2015,1560,white,,47
20124,20124,7aac9281a7dc9eed07d44e9c09f94de114669c1c,11,business,13500.0,ford,ford-focus,diesel,83323,2013,1560,other,,47
20125,20125,d1a96e52d43af5583360a36dfb6b0d3989c67743,1,business,14190.0,vw,vw-polo,gaz,19300,2017,999,white,,58
20126,20126,72b537654a3f7e0aedc6683f4b3e313a1304253e,11,business,22950.0,nissan,nissan-qashqai,diesel,14683,2017,1500,white,,39
20127,20127,8c53088015fb26e61c200c8a4f5f436af3647577,11,business,2850.0,bmw,bmw-320,diesel,300000,2001,2000,blue,,21
20128,20128,3bcbfd6848625670b9cc8467e3d803f6113cb300,15,business,1700.0,ford,ford-mondeo,diesel,405472,1995,1800,green,,12
20129,20129,433f0f5d30bbc661dc255fd9029905446244d3ab,3,business,25900.0,ds,ds-ds5,diesel,27000,2017,1560,white,,64
20130,20130,4062ed731f80c5172f903b9f9f0f858372fbcd04,0,business,15800.0,peugeot,peugeot-308-sw,diesel,67816,2014,1560,other,,66
20131,20131,c0533b37a8366c90a49e4653a8d6e797cae6d53c,0,business,19200.0,renault,renault-megane,diesel,80771,2017,1461,other,,62
20132,20132,d7481d271fe813b0784add80012afa3e6188fb9a,11,business,11050.0,alfa-romeo,alfa-romeo-mito,diesel,121751,2012,1248,other,,16
20133,20133,80df0f9413fade91c48e7195061c3c2248ed5704,11,business,18000.0,peugeot,peugeot-308,diesel,107847,2016,1560,other,,8
20134,20134,be77ccad0620efe06432622b1f492ae54074a4a6,11,business,3900.0,opel,opel-astra-caravan,gaz,103000,2005,1400,blue,,13
20135,20135,7e7bd496eda07c18556109e612f5693f8ed1ccfe,10,private,2500.0,toyota,toyota-corolla,gaz,131281,1987,1300,blue,,17
20136,20136,341996074abe99ab6d3106eb79bb9f74fb739714,8,private,12900.0,peugeot,peugeot-308-sw,diesel,146000,2014,1560,blue,,17
20137,20137,7c947e96013163474d11b62728416a84d8b17c78,11,business,13490.0,nissan,nissan-micra,gaz,21655,2018,898,white,,16
20138,20138,14f2f7ba8b70be8ff7e731df720ca54283907746,6,business,19000.0,toyota,toyota-auris-touring-sports,diesel,40115,2016,1364,white,,9
20139,20139,faf2843e35eb9c36e8be234bc731b4f71027e7c9,11,private,17950.0,renault,renault-clio,gaz,152000,2014,1600,red,,21
20140,20140,1765e33cc4f030e5850b8100e664d181423fe7b4,11,business,3990.0,renault,renault-clio,gaz,172000,2006,1200,blue,,28
20141,20141,22000e5f39f0c411e24b375741daaf2d722bae12,11,business,6500.0,audi,audi-a4-avant,diesel,250000,2002,1900,blue,,10
20142,20142,61651df41b06e7d1b49b7a84b20872f7c167a4b8,13,business,35500.0,mercedes-benz,mercedes-benz-a-180,diesel,10000,2018,1461,white,,19
20143,20143,a9fcdaa2c2d3cfa15b4aacef30ddf2ccb3b9a726,13,business,21250.0,nissan,nissan-qashqai,diesel,69485,2016,1461,white,,7
